"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"65",65,"08/11/2021 01:12:56",23.59,"UP","UP","S_UPH_V1_20",20,"Veg"
"66",66,"08/11/2021 02:12:56",23.34,"UP","UP","S_UPH_V1_20",20,"Veg"
"67",67,"08/11/2021 03:12:56",23.38,"UP","UP","S_UPH_V1_20",20,"Veg"
"68",68,"08/11/2021 04:12:56",22.31,"UP","UP","S_UPH_V1_20",20,"Veg"
"69",69,"08/11/2021 05:12:56",21.96,"UP","UP","S_UPH_V1_20",20,"Veg"
"70",70,"08/11/2021 06:12:56",22.52,"UP","UP","S_UPH_V1_20",20,"Veg"
"71",71,"08/11/2021 07:12:56",22.61,"UP","UP","S_UPH_V1_20",20,"Veg"
"72",72,"08/11/2021 08:12:56",23.51,"UP","UP","S_UPH_V1_20",20,"Veg"
"73",73,"08/11/2021 09:12:56",24.36,"UP","UP","S_UPH_V1_20",20,"Veg"
"74",74,"08/11/2021 10:12:56",25.57,"UP","UP","S_UPH_V1_20",20,"Veg"
"75",75,"08/11/2021 11:12:56",30.11,"UP","UP","S_UPH_V1_20",20,"Veg"
"76",76,"08/11/2021 12:12:56",32.94,"UP","UP","S_UPH_V1_20",20,"Veg"
"77",77,"08/11/2021 13:12:56",32.82,"UP","UP","S_UPH_V1_20",20,"Veg"
"78",78,"08/11/2021 14:12:56",36.03,"UP","UP","S_UPH_V1_20",20,"Veg"
"79",79,"08/11/2021 15:12:56",37.36,"UP","UP","S_UPH_V1_20",20,"Veg"
"80",80,"08/11/2021 16:12:56",37.75,"UP","UP","S_UPH_V1_20",20,"Veg"
"81",81,"08/11/2021 17:12:56",35.73,"UP","UP","S_UPH_V1_20",20,"Veg"
"82",82,"08/11/2021 18:12:56",28.1,"UP","UP","S_UPH_V1_20",20,"Veg"
"83",83,"08/11/2021 19:12:56",28.91,"UP","UP","S_UPH_V1_20",20,"Veg"
"84",84,"08/11/2021 20:12:56",25.57,"UP","UP","S_UPH_V1_20",20,"Veg"
"85",85,"08/11/2021 21:12:56",24.71,"UP","UP","S_UPH_V1_20",20,"Veg"
"86",86,"08/11/2021 22:12:56",23.89,"UP","UP","S_UPH_V1_20",20,"Veg"
"87",87,"08/11/2021 23:12:56",22.61,"UP","UP","S_UPH_V1_20",20,"Veg"
"88",88,"08/12/2021 00:12:56",22.05,"UP","UP","S_UPH_V1_20",20,"Veg"
"89",89,"08/12/2021 01:12:56",21.28,"UP","UP","S_UPH_V1_20",20,"Veg"
"90",90,"08/12/2021 02:12:56",21.36,"UP","UP","S_UPH_V1_20",20,"Veg"
"91",91,"08/12/2021 03:12:56",21.28,"UP","UP","S_UPH_V1_20",20,"Veg"
"92",92,"08/12/2021 04:12:56",22.09,"UP","UP","S_UPH_V1_20",20,"Veg"
"93",93,"08/12/2021 05:12:56",22.13,"UP","UP","S_UPH_V1_20",20,"Veg"
"94",94,"08/12/2021 06:12:56",22.52,"UP","UP","S_UPH_V1_20",20,"Veg"
"95",95,"08/12/2021 07:12:56",23.76,"UP","UP","S_UPH_V1_20",20,"Veg"
"96",96,"08/12/2021 08:12:56",26.51,"UP","UP","S_UPH_V1_20",20,"Veg"
"97",97,"08/12/2021 09:12:56",29,"UP","UP","S_UPH_V1_20",20,"Veg"
"98",98,"08/12/2021 10:12:56",29.98,"UP","UP","S_UPH_V1_20",20,"Veg"
"99",99,"08/12/2021 11:12:56",33.72,"UP","UP","S_UPH_V1_20",20,"Veg"
"100",100,"08/12/2021 12:12:56",32.94,"UP","UP","S_UPH_V1_20",20,"Veg"
"101",101,"08/12/2021 13:12:56",33.25,"UP","UP","S_UPH_V1_20",20,"Veg"
"102",102,"08/12/2021 14:12:56",31.7,"UP","UP","S_UPH_V1_20",20,"Veg"
"103",103,"08/12/2021 15:12:56",29.3,"UP","UP","S_UPH_V1_20",20,"Veg"
"104",104,"08/12/2021 16:12:56",31.19,"UP","UP","S_UPH_V1_20",20,"Veg"
"105",105,"08/12/2021 17:12:56",31.14,"UP","UP","S_UPH_V1_20",20,"Veg"
"106",106,"08/12/2021 18:12:56",30.11,"UP","UP","S_UPH_V1_20",20,"Veg"
"107",107,"08/12/2021 19:12:56",28.78,"UP","UP","S_UPH_V1_20",20,"Veg"
"108",108,"08/12/2021 20:12:56",25.65,"UP","UP","S_UPH_V1_20",20,"Veg"
