"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"65",65,"07/15/2021 23:19:21",17.97,"SP","SP","S_SPH_P1_60",60,"Predator"
"66",66,"07/16/2021 00:19:21",17.63,"SP","SP","S_SPH_P1_60",60,"Predator"
"67",67,"07/16/2021 01:19:21",17.54,"SP","SP","S_SPH_P1_60",60,"Predator"
"68",68,"07/16/2021 02:19:21",16.9,"SP","SP","S_SPH_P1_60",60,"Predator"
"69",69,"07/16/2021 03:19:21",16.64,"SP","SP","S_SPH_P1_60",60,"Predator"
"70",70,"07/16/2021 04:19:21",16.64,"SP","SP","S_SPH_P1_60",60,"Predator"
"71",71,"07/16/2021 05:19:21",17.11,"SP","SP","S_SPH_P1_60",60,"Predator"
"72",72,"07/16/2021 06:19:21",19,"SP","SP","S_SPH_P1_60",60,"Predator"
"73",73,"07/16/2021 07:19:21",23.72,"SP","SP","S_SPH_P1_60",60,"Predator"
"74",74,"07/16/2021 08:19:21",27.02,"SP","SP","S_SPH_P1_60",60,"Predator"
"75",75,"07/16/2021 09:19:21",28.95,"SP","SP","S_SPH_P1_60",60,"Predator"
"76",76,"07/16/2021 10:19:21",30.63,"SP","SP","S_SPH_P1_60",60,"Predator"
"77",77,"07/16/2021 11:19:21",32.34,"SP","SP","S_SPH_P1_60",60,"Predator"
"78",78,"07/16/2021 12:19:21",33.5,"SP","SP","S_SPH_P1_60",60,"Predator"
"79",79,"07/16/2021 13:19:21",32.99,"SP","SP","S_SPH_P1_60",60,"Predator"
"80",80,"07/16/2021 14:19:21",33.93,"SP","SP","S_SPH_P1_60",60,"Predator"
"81",81,"07/16/2021 15:19:21",34.53,"SP","SP","S_SPH_P1_60",60,"Predator"
"82",82,"07/16/2021 16:19:21",34.53,"SP","SP","S_SPH_P1_60",60,"Predator"
"83",83,"07/16/2021 17:19:21",33.55,"SP","SP","S_SPH_P1_60",60,"Predator"
"84",84,"07/16/2021 18:19:21",31.27,"SP","SP","S_SPH_P1_60",60,"Predator"
"85",85,"07/16/2021 19:19:21",25.27,"SP","SP","S_SPH_P1_60",60,"Predator"
"86",86,"07/16/2021 20:19:21",21.79,"SP","SP","S_SPH_P1_60",60,"Predator"
"87",87,"07/16/2021 21:19:21",20.76,"SP","SP","S_SPH_P1_60",60,"Predator"
"88",88,"07/16/2021 22:19:21",19.6,"SP","SP","S_SPH_P1_60",60,"Predator"
"89",89,"07/16/2021 23:19:21",19.9,"SP","SP","S_SPH_P1_60",60,"Predator"
"90",90,"07/17/2021 00:19:21",18.96,"SP","SP","S_SPH_P1_60",60,"Predator"
"91",91,"07/17/2021 01:19:21",19.65,"SP","SP","S_SPH_P1_60",60,"Predator"
"92",92,"07/17/2021 02:19:21",19.22,"SP","SP","S_SPH_P1_60",60,"Predator"
"93",93,"07/17/2021 03:19:21",19.47,"SP","SP","S_SPH_P1_60",60,"Predator"
"94",94,"07/17/2021 04:19:21",19.47,"SP","SP","S_SPH_P1_60",60,"Predator"
"95",95,"07/17/2021 05:19:21",19.43,"SP","SP","S_SPH_P1_60",60,"Predator"
"96",96,"07/17/2021 06:19:21",19.9,"SP","SP","S_SPH_P1_60",60,"Predator"
"97",97,"07/17/2021 07:19:21",21.83,"SP","SP","S_SPH_P1_60",60,"Predator"
