"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"57",57,"10/03/2021 18:40:22",13.85,"UP","SC","S_SCN_P1_20",20,"Predator"
"58",58,"10/03/2021 19:40:22",13.77,"UP","SC","S_SCN_P1_20",20,"Predator"
"59",59,"10/03/2021 20:40:22",13.81,"UP","SC","S_SCN_P1_20",20,"Predator"
"60",60,"10/03/2021 21:40:22",13.85,"UP","SC","S_SCN_P1_20",20,"Predator"
"61",61,"10/03/2021 22:40:22",14.03,"UP","SC","S_SCN_P1_20",20,"Predator"
"62",62,"10/03/2021 23:40:22",14.03,"UP","SC","S_SCN_P1_20",20,"Predator"
"63",63,"10/04/2021 00:40:22",14.03,"UP","SC","S_SCN_P1_20",20,"Predator"
"64",64,"10/04/2021 01:40:22",13.85,"UP","SC","S_SCN_P1_20",20,"Predator"
"65",65,"10/04/2021 02:40:22",12.95,"UP","SC","S_SCN_P1_20",20,"Predator"
"66",66,"10/04/2021 03:40:22",12.35,"UP","SC","S_SCN_P1_20",20,"Predator"
"67",67,"10/04/2021 04:40:22",12.74,"UP","SC","S_SCN_P1_20",20,"Predator"
"68",68,"10/04/2021 05:40:22",13.64,"UP","SC","S_SCN_P1_20",20,"Predator"
"69",69,"10/04/2021 06:40:22",13.3,"UP","SC","S_SCN_P1_20",20,"Predator"
"70",70,"10/04/2021 07:40:22",12.65,"UP","SC","S_SCN_P1_20",20,"Predator"
"71",71,"10/04/2021 08:40:22",13.04,"UP","SC","S_SCN_P1_20",20,"Predator"
"72",72,"10/04/2021 09:40:22",13.6,"UP","SC","S_SCN_P1_20",20,"Predator"
"73",73,"10/04/2021 10:40:22",13.98,"UP","SC","S_SCN_P1_20",20,"Predator"
"74",74,"10/04/2021 11:40:22",15.27,"UP","SC","S_SCN_P1_20",20,"Predator"
"75",75,"10/04/2021 12:40:22",16.77,"UP","SC","S_SCN_P1_20",20,"Predator"
"76",76,"10/04/2021 13:40:22",15.53,"UP","SC","S_SCN_P1_20",20,"Predator"
"77",77,"10/04/2021 14:40:22",14.84,"UP","SC","S_SCN_P1_20",20,"Predator"
"78",78,"10/04/2021 15:40:22",15.83,"UP","SC","S_SCN_P1_20",20,"Predator"
"79",79,"10/04/2021 16:40:22",14.97,"UP","SC","S_SCN_P1_20",20,"Predator"
"80",80,"10/04/2021 17:40:22",14.24,"UP","SC","S_SCN_P1_20",20,"Predator"
"81",81,"10/04/2021 18:40:22",13.43,"UP","SC","S_SCN_P1_20",20,"Predator"
"82",82,"10/04/2021 19:40:22",13.17,"UP","SC","S_SCN_P1_20",20,"Predator"
"83",83,"10/04/2021 20:40:22",13.08,"UP","SC","S_SCN_P1_20",20,"Predator"
"84",84,"10/04/2021 21:40:22",12.91,"UP","SC","S_SCN_P1_20",20,"Predator"
"85",85,"10/04/2021 22:40:22",12.52,"UP","SC","S_SCN_P1_20",20,"Predator"
"86",86,"10/04/2021 23:40:22",12.14,"UP","SC","S_SCN_P1_20",20,"Predator"
"87",87,"10/05/2021 00:40:22",12.31,"UP","SC","S_SCN_P1_20",20,"Predator"
"88",88,"10/05/2021 01:40:22",12.31,"UP","SC","S_SCN_P1_20",20,"Predator"
"89",89,"10/05/2021 02:40:22",12.48,"UP","SC","S_SCN_P1_20",20,"Predator"
"90",90,"10/05/2021 03:40:22",12.22,"UP","SC","S_SCN_P1_20",20,"Predator"
"91",91,"10/05/2021 04:40:22",11.88,"UP","SC","S_SCN_P1_20",20,"Predator"
"92",92,"10/05/2021 05:40:22",11.88,"UP","SC","S_SCN_P1_20",20,"Predator"
"93",93,"10/05/2021 06:40:22",12.18,"UP","SC","S_SCN_P1_20",20,"Predator"
"94",94,"10/05/2021 07:40:22",12.27,"UP","SC","S_SCN_P1_20",20,"Predator"
"95",95,"10/05/2021 08:40:22",13.08,"UP","SC","S_SCN_P1_20",20,"Predator"
"96",96,"10/05/2021 09:40:22",14.2,"UP","SC","S_SCN_P1_20",20,"Predator"
"97",97,"10/05/2021 10:40:22",16.26,"UP","SC","S_SCN_P1_20",20,"Predator"
"98",98,"10/05/2021 11:40:22",17.24,"UP","SC","S_SCN_P1_20",20,"Predator"
"99",99,"10/05/2021 12:40:22",18.66,"UP","SC","S_SCN_P1_20",20,"Predator"
"100",100,"10/05/2021 13:40:22",17.24,"UP","SC","S_SCN_P1_20",20,"Predator"
"101",101,"10/05/2021 14:40:22",18.49,"UP","SC","S_SCN_P1_20",20,"Predator"
"102",102,"10/05/2021 15:40:22",18.1,"UP","SC","S_SCN_P1_20",20,"Predator"
"103",103,"10/05/2021 16:40:22",16.69,"UP","SC","S_SCN_P1_20",20,"Predator"
"104",104,"10/05/2021 17:40:22",15.96,"UP","SC","S_SCN_P1_20",20,"Predator"
"105",105,"10/05/2021 18:40:22",14.8,"UP","SC","S_SCN_P1_20",20,"Predator"
"106",106,"10/05/2021 19:40:22",13.98,"UP","SC","S_SCN_P1_20",20,"Predator"
"107",107,"10/05/2021 20:40:22",14.24,"UP","SC","S_SCN_P1_20",20,"Predator"
"108",108,"10/05/2021 21:40:22",14.37,"UP","SC","S_SCN_P1_20",20,"Predator"
"109",109,"10/05/2021 22:40:22",14.45,"UP","SC","S_SCN_P1_20",20,"Predator"
"110",110,"10/05/2021 23:40:22",14.41,"UP","SC","S_SCN_P1_20",20,"Predator"
"111",111,"10/06/2021 00:40:22",14.07,"UP","SC","S_SCN_P1_20",20,"Predator"
"112",112,"10/06/2021 01:40:22",14.03,"UP","SC","S_SCN_P1_20",20,"Predator"
"113",113,"10/06/2021 02:40:22",14.11,"UP","SC","S_SCN_P1_20",20,"Predator"
"114",114,"10/06/2021 03:40:22",14.07,"UP","SC","S_SCN_P1_20",20,"Predator"
"115",115,"10/06/2021 04:40:22",14.24,"UP","SC","S_SCN_P1_20",20,"Predator"
"116",116,"10/06/2021 05:40:22",14.33,"UP","SC","S_SCN_P1_20",20,"Predator"
"117",117,"10/06/2021 06:40:22",14.2,"UP","SC","S_SCN_P1_20",20,"Predator"
"118",118,"10/06/2021 07:40:22",14.45,"UP","SC","S_SCN_P1_20",20,"Predator"
"119",119,"10/06/2021 08:40:22",15.36,"UP","SC","S_SCN_P1_20",20,"Predator"
"120",120,"10/06/2021 09:40:22",16.51,"UP","SC","S_SCN_P1_20",20,"Predator"
"121",121,"10/06/2021 10:40:22",17.2,"UP","SC","S_SCN_P1_20",20,"Predator"
"122",122,"10/06/2021 11:40:22",17.84,"UP","SC","S_SCN_P1_20",20,"Predator"
"123",123,"10/06/2021 12:40:22",20.93,"UP","SC","S_SCN_P1_20",20,"Predator"
"124",124,"10/06/2021 13:40:22",24.49,"UP","SC","S_SCN_P1_20",20,"Predator"
"125",125,"10/06/2021 14:40:22",26.72,"UP","SC","S_SCN_P1_20",20,"Predator"
"126",126,"10/06/2021 15:40:22",28.01,"UP","SC","S_SCN_P1_20",20,"Predator"
"127",127,"10/06/2021 16:40:22",26.51,"UP","SC","S_SCN_P1_20",20,"Predator"
"128",128,"10/06/2021 17:40:22",20.72,"UP","SC","S_SCN_P1_20",20,"Predator"
"129",129,"10/06/2021 18:40:22",13.85,"UP","SC","S_SCN_P1_20",20,"Predator"
"130",130,"10/06/2021 19:40:22",11.97,"UP","SC","S_SCN_P1_20",20,"Predator"
"131",131,"10/06/2021 20:40:22",10.94,"UP","SC","S_SCN_P1_20",20,"Predator"
"132",132,"10/06/2021 21:40:22",10.34,"UP","SC","S_SCN_P1_20",20,"Predator"
"133",133,"10/06/2021 22:40:22",9.95,"UP","SC","S_SCN_P1_20",20,"Predator"
"134",134,"10/06/2021 23:40:22",9.52,"UP","SC","S_SCN_P1_20",20,"Predator"
"135",135,"10/07/2021 00:40:22",8.45,"UP","SC","S_SCN_P1_20",20,"Predator"
"136",136,"10/07/2021 01:40:22",7.98,"UP","SC","S_SCN_P1_20",20,"Predator"
"137",137,"10/07/2021 02:40:22",8.02,"UP","SC","S_SCN_P1_20",20,"Predator"
"138",138,"10/07/2021 03:40:22",7.68,"UP","SC","S_SCN_P1_20",20,"Predator"
"139",139,"10/07/2021 04:40:22",8.15,"UP","SC","S_SCN_P1_20",20,"Predator"
"140",140,"10/07/2021 05:40:22",7.85,"UP","SC","S_SCN_P1_20",20,"Predator"
"141",141,"10/07/2021 06:40:22",8.49,"UP","SC","S_SCN_P1_20",20,"Predator"
"142",142,"10/07/2021 07:40:22",8.88,"UP","SC","S_SCN_P1_20",20,"Predator"
"143",143,"10/07/2021 08:40:22",11.58,"UP","SC","S_SCN_P1_20",20,"Predator"
"144",144,"10/07/2021 09:40:22",13.12,"UP","SC","S_SCN_P1_20",20,"Predator"
"145",145,"10/07/2021 10:40:22",15.27,"UP","SC","S_SCN_P1_20",20,"Predator"
"146",146,"10/07/2021 11:40:22",20.37,"UP","SC","S_SCN_P1_20",20,"Predator"
"147",147,"10/07/2021 12:40:22",23.59,"UP","SC","S_SCN_P1_20",20,"Predator"
"148",148,"10/07/2021 13:40:22",25.65,"UP","SC","S_SCN_P1_20",20,"Predator"
"149",149,"10/07/2021 14:40:22",28.95,"UP","SC","S_SCN_P1_20",20,"Predator"
"150",150,"10/07/2021 15:40:22",29.13,"UP","SC","S_SCN_P1_20",20,"Predator"
"151",151,"10/07/2021 16:40:22",27.28,"UP","SC","S_SCN_P1_20",20,"Predator"
"152",152,"10/07/2021 17:40:22",21.15,"UP","SC","S_SCN_P1_20",20,"Predator"
"153",153,"10/07/2021 18:40:22",14.5,"UP","SC","S_SCN_P1_20",20,"Predator"
"154",154,"10/07/2021 19:40:22",12.44,"UP","SC","S_SCN_P1_20",20,"Predator"
"155",155,"10/07/2021 20:40:22",13.6,"UP","SC","S_SCN_P1_20",20,"Predator"
"156",156,"10/07/2021 21:40:22",13.47,"UP","SC","S_SCN_P1_20",20,"Predator"
