"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"65",65,"07/14/2021 07:59:17",19.99,"YF","FN","S_FNS_P1_40",40,"Predator"
"66",66,"07/14/2021 08:59:17",20.5,"YF","FN","S_FNS_P1_40",40,"Predator"
"67",67,"07/14/2021 09:59:17",21.58,"YF","FN","S_FNS_P1_40",40,"Predator"
"68",68,"07/14/2021 10:59:17",23.59,"YF","FN","S_FNS_P1_40",40,"Predator"
"69",69,"07/14/2021 11:59:17",25.05,"YF","FN","S_FNS_P1_40",40,"Predator"
"70",70,"07/14/2021 12:59:17",25.95,"YF","FN","S_FNS_P1_40",40,"Predator"
"71",71,"07/14/2021 13:59:17",30.41,"YF","FN","S_FNS_P1_40",40,"Predator"
"72",72,"07/14/2021 14:59:17",29.17,"YF","FN","S_FNS_P1_40",40,"Predator"
"73",73,"07/14/2021 15:59:17",30.03,"YF","FN","S_FNS_P1_40",40,"Predator"
"74",74,"07/14/2021 16:59:17",28.48,"YF","FN","S_FNS_P1_40",40,"Predator"
"75",75,"07/14/2021 17:59:17",30.5,"YF","FN","S_FNS_P1_40",40,"Predator"
"76",76,"07/14/2021 18:59:17",25.57,"YF","FN","S_FNS_P1_40",40,"Predator"
"77",77,"07/14/2021 19:59:17",23.29,"YF","FN","S_FNS_P1_40",40,"Predator"
"78",78,"07/14/2021 20:59:17",20.29,"YF","FN","S_FNS_P1_40",40,"Predator"
"79",79,"07/14/2021 21:59:17",19.17,"YF","FN","S_FNS_P1_40",40,"Predator"
"80",80,"07/14/2021 22:59:17",19.26,"YF","FN","S_FNS_P1_40",40,"Predator"
"81",81,"07/14/2021 23:59:17",18.44,"YF","FN","S_FNS_P1_40",40,"Predator"
"82",82,"07/15/2021 00:59:17",17.46,"YF","FN","S_FNS_P1_40",40,"Predator"
"83",83,"07/15/2021 01:59:17",16.99,"YF","FN","S_FNS_P1_40",40,"Predator"
"84",84,"07/15/2021 02:59:17",17.07,"YF","FN","S_FNS_P1_40",40,"Predator"
"85",85,"07/15/2021 03:59:17",16.56,"YF","FN","S_FNS_P1_40",40,"Predator"
"86",86,"07/15/2021 04:59:17",16.39,"YF","FN","S_FNS_P1_40",40,"Predator"
"87",87,"07/15/2021 05:59:17",17.97,"YF","FN","S_FNS_P1_40",40,"Predator"
"88",88,"07/15/2021 06:59:17",18.44,"YF","FN","S_FNS_P1_40",40,"Predator"
"89",89,"07/15/2021 07:59:17",21.15,"YF","FN","S_FNS_P1_40",40,"Predator"
"90",90,"07/15/2021 08:59:17",26.42,"YF","FN","S_FNS_P1_40",40,"Predator"
"91",91,"07/15/2021 09:59:17",28.74,"YF","FN","S_FNS_P1_40",40,"Predator"
"92",92,"07/15/2021 10:59:17",30.5,"YF","FN","S_FNS_P1_40",40,"Predator"
"93",93,"07/15/2021 11:59:17",32.64,"YF","FN","S_FNS_P1_40",40,"Predator"
"94",94,"07/15/2021 12:59:17",35.09,"YF","FN","S_FNS_P1_40",40,"Predator"
"95",95,"07/15/2021 13:59:17",36.12,"YF","FN","S_FNS_P1_40",40,"Predator"
"96",96,"07/15/2021 14:59:17",34.45,"YF","FN","S_FNS_P1_40",40,"Predator"
"97",97,"07/15/2021 15:59:17",32.94,"YF","FN","S_FNS_P1_40",40,"Predator"
"98",98,"07/15/2021 16:59:17",31.66,"YF","FN","S_FNS_P1_40",40,"Predator"
"99",99,"07/15/2021 17:59:17",30.93,"YF","FN","S_FNS_P1_40",40,"Predator"
"100",100,"07/15/2021 18:59:17",25.61,"YF","FN","S_FNS_P1_40",40,"Predator"
"101",101,"07/15/2021 19:59:17",23.12,"YF","FN","S_FNS_P1_40",40,"Predator"
"102",102,"07/15/2021 20:59:17",20.85,"YF","FN","S_FNS_P1_40",40,"Predator"
"103",103,"07/15/2021 21:59:17",20.03,"YF","FN","S_FNS_P1_40",40,"Predator"
"104",104,"07/15/2021 22:59:17",19.95,"YF","FN","S_FNS_P1_40",40,"Predator"
"105",105,"07/15/2021 23:59:17",19.56,"YF","FN","S_FNS_P1_40",40,"Predator"
"106",106,"07/16/2021 00:59:17",19.22,"YF","FN","S_FNS_P1_40",40,"Predator"
"107",107,"07/16/2021 01:59:17",18.96,"YF","FN","S_FNS_P1_40",40,"Predator"
"108",108,"07/16/2021 02:59:17",20.12,"YF","FN","S_FNS_P1_40",40,"Predator"
"109",109,"07/16/2021 03:59:17",20.37,"YF","FN","S_FNS_P1_40",40,"Predator"
"110",110,"07/16/2021 04:59:17",20.59,"YF","FN","S_FNS_P1_40",40,"Predator"
"111",111,"07/16/2021 05:59:17",21.06,"YF","FN","S_FNS_P1_40",40,"Predator"
"112",112,"07/16/2021 06:59:17",21.83,"YF","FN","S_FNS_P1_40",40,"Predator"
"113",113,"07/16/2021 07:59:17",23.46,"YF","FN","S_FNS_P1_40",40,"Predator"
"114",114,"07/16/2021 08:59:17",27.93,"YF","FN","S_FNS_P1_40",40,"Predator"
"115",115,"07/16/2021 09:59:17",30.71,"YF","FN","S_FNS_P1_40",40,"Predator"
"116",116,"07/16/2021 10:59:17",33.37,"YF","FN","S_FNS_P1_40",40,"Predator"
"117",117,"07/16/2021 11:59:17",34.57,"YF","FN","S_FNS_P1_40",40,"Predator"
"118",118,"07/16/2021 12:59:17",36.76,"YF","FN","S_FNS_P1_40",40,"Predator"
"119",119,"07/16/2021 13:59:17",36.25,"YF","FN","S_FNS_P1_40",40,"Predator"
"120",120,"07/16/2021 14:59:17",31.19,"YF","FN","S_FNS_P1_40",40,"Predator"
"121",121,"07/16/2021 15:59:17",32.99,"YF","FN","S_FNS_P1_40",40,"Predator"
"122",122,"07/16/2021 16:59:17",27.63,"YF","FN","S_FNS_P1_40",40,"Predator"
"123",123,"07/16/2021 17:59:17",21.92,"YF","FN","S_FNS_P1_40",40,"Predator"
"124",124,"07/16/2021 18:59:17",23.81,"YF","FN","S_FNS_P1_40",40,"Predator"
"125",125,"07/16/2021 19:59:17",22.52,"YF","FN","S_FNS_P1_40",40,"Predator"
"126",126,"07/16/2021 20:59:17",20.59,"YF","FN","S_FNS_P1_40",40,"Predator"
"127",127,"07/16/2021 21:59:17",20.16,"YF","FN","S_FNS_P1_40",40,"Predator"
"128",128,"07/16/2021 22:59:17",19.69,"YF","FN","S_FNS_P1_40",40,"Predator"
"129",129,"07/16/2021 23:59:17",19.43,"YF","FN","S_FNS_P1_40",40,"Predator"
"130",130,"07/17/2021 00:59:17",19.17,"YF","FN","S_FNS_P1_40",40,"Predator"
"131",131,"07/17/2021 01:59:17",19.6,"YF","FN","S_FNS_P1_40",40,"Predator"
"132",132,"07/17/2021 02:59:17",19.09,"YF","FN","S_FNS_P1_40",40,"Predator"
"133",133,"07/17/2021 03:59:17",19.99,"YF","FN","S_FNS_P1_40",40,"Predator"
"134",134,"07/17/2021 04:59:17",19.65,"YF","FN","S_FNS_P1_40",40,"Predator"
"135",135,"07/17/2021 05:59:17",19.99,"YF","FN","S_FNS_P1_40",40,"Predator"
"136",136,"07/17/2021 06:59:17",20.46,"YF","FN","S_FNS_P1_40",40,"Predator"
"137",137,"07/17/2021 07:59:17",21.88,"YF","FN","S_FNS_P1_40",40,"Predator"
"138",138,"07/17/2021 08:59:17",21.88,"YF","FN","S_FNS_P1_40",40,"Predator"
"139",139,"07/17/2021 09:59:17",25.57,"YF","FN","S_FNS_P1_40",40,"Predator"
"140",140,"07/17/2021 10:59:17",28.44,"YF","FN","S_FNS_P1_40",40,"Predator"
"141",141,"07/17/2021 11:59:17",31.19,"YF","FN","S_FNS_P1_40",40,"Predator"
"142",142,"07/17/2021 12:59:17",32.17,"YF","FN","S_FNS_P1_40",40,"Predator"
"143",143,"07/17/2021 13:59:17",34.36,"YF","FN","S_FNS_P1_40",40,"Predator"
"144",144,"07/17/2021 14:59:17",31.44,"YF","FN","S_FNS_P1_40",40,"Predator"
"145",145,"07/17/2021 15:59:17",23.34,"YF","FN","S_FNS_P1_40",40,"Predator"
"146",146,"07/17/2021 16:59:17",21.53,"YF","FN","S_FNS_P1_40",40,"Predator"
"147",147,"07/17/2021 17:59:17",20.2,"YF","FN","S_FNS_P1_40",40,"Predator"
"148",148,"07/17/2021 18:59:17",20.72,"YF","FN","S_FNS_P1_40",40,"Predator"
"149",149,"07/17/2021 19:59:17",20.59,"YF","FN","S_FNS_P1_40",40,"Predator"
"150",150,"07/17/2021 20:59:17",20.59,"YF","FN","S_FNS_P1_40",40,"Predator"
"151",151,"07/17/2021 21:59:17",21.02,"YF","FN","S_FNS_P1_40",40,"Predator"
"152",152,"07/17/2021 22:59:17",20.76,"YF","FN","S_FNS_P1_40",40,"Predator"
"153",153,"07/17/2021 23:59:17",20.2,"YF","FN","S_FNS_P1_40",40,"Predator"
"154",154,"07/18/2021 00:59:17",19.9,"YF","FN","S_FNS_P1_40",40,"Predator"
"155",155,"07/18/2021 01:59:17",19.47,"YF","FN","S_FNS_P1_40",40,"Predator"
"156",156,"07/18/2021 02:59:17",19,"YF","FN","S_FNS_P1_40",40,"Predator"
